,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,goals_home,goals_away
87,2022-2023,19,04.02.2023 17:30,Górnik Zabrze,Lechia Gdańsk,57%,43%,19,12,3,4,11,4,5,4,16,16,5,3,3,1,9,26,3,2,12,14,,,2,4,485,368,411,274,16,6,115,91,102,49,1,1
88,2022-2023,19,04.02.2023 15:00,Raków Częstochowa,Piast Gliwice,59%,41%,9,6,2,1,6,3,1,2,17,14,4,4,1,2,19,22,1,1,14,17,,,2,2,515,341,415,230,15,19,76,82,47,56,1,0
89,2022-2023,19,03.02.2023 20:30,Widzew Łódź,Jagiellonia Białystok,56%,44%,19,9,6,4,8,4,5,1,14,10,11,3,2,3,29,23,3,5,8,12,,,0,3,439,363,328,267,16,14,97,80,58,24,1,1
90,2022-2023, 2,01.02.2023 19:00,Miedź Legnica,Lech Poznań,24%,76%,5,23,2,12,1,7,2,4,11,13,2,5,0,2,14,27,10,0,15,10,,,4,0,246,756,141,662,13,14,79,149,35,114,2,2
91,2022-2023,18,30.01.2023 19:00,Cracovia,Górnik Zabrze,33%,67%,16,5,4,1,10,0,2,4,9,8,3,9,0,0,30,16,1,2,9,9,,,2,2,317,648,222,540,19,16,92,130,76,93,2,0
92,2022-2023,18,29.01.2023 17:30,Lechia Gdańsk,Wisła Płock,33%,67%,11,6,3,1,5,3,3,2,15,11,8,8,2,5,19,23,1,2,12,11,,,0,2,290,597,228,536,19,9,70,92,54,74,1,0
93,2022-2023,18,29.01.2023 15:00,Legia Warszawa,Korona Kielce,66%,34%,14,13,5,3,4,7,5,3,20,14,9,5,2,3,21,18,1,2,12,19,,,7,2,502,249,402,159,11,14,99,90,76,70,3,2
94,2022-2023,18,29.01.2023 12:30,Piast Gliwice,Jagiellonia Białystok,61%,39%,20,5,7,3,9,1,4,1,18,17,9,2,1,1,35,23,2,6,15,17,,,0,2,468,298,341,174,17,13,119,95,93,62,1,1
95,2022-2023,18,28.01.2023 20:00,Śląsk Wrocław,Zagłębie Lubin,61%,39%,11,10,3,6,3,2,5,2,11,13,4,3,1,1,20,16,3,3,12,11,0,1,1,0,502,334,431,263,13,12,110,90,73,51,0,3
96,2022-2023,18,28.01.2023 17:30,Widzew Łódź,Pogoń Szczecin,50%,50%,13,13,3,5,7,5,3,3,9,15,4,3,2,2,31,20,2,0,12,9,0,1,1,1,441,445,342,354,17,12,99,96,79,69,3,3
97,2022-2023,18,28.01.2023 15:00,Warta Poznań,Raków Częstochowa,32%,68%,10,7,1,3,3,2,6,2,15,17,2,4,1,2,12,21,2,0,17,12,0,1,4,1,291,623,206,531,20,5,82,118,31,54,1,1
98,2022-2023,18,27.01.2023 20:30,Stal Mielec,Lech Poznań,45%,55%,12,15,3,5,3,4,6,6,12,19,5,7,2,1,24,12,5,3,19,14,,,4,2,386,478,285,391,14,14,57,82,40,57,0,0
99,2022-2023,18,27.01.2023 18:00,Miedź Legnica,Radomiak Radom,56%,44%,16,15,2,6,9,4,5,5,14,24,4,3,0,0,23,15,6,2,24,14,,,3,1,423,338,336,245,15,20,114,102,70,62,0,0
100,2022-2023, 2,18.11.2022 20:30,Lechia Gdańsk,Górnik Zabrze,43%,57%,9,19,2,5,6,6,1,8,20,13,2,6,2,3,21,17,4,0,13,17,,,2,5,420,534,322,422,25,24,100,101,54,78,2,1
101,2022-2023,17,13.11.2022 17:30,Śląsk Wrocław,Legia Warszawa,32%,68%,10,10,2,1,5,6,3,3,18,18,4,8,2,1,19,27,1,2,18,18,,,3,3,244,495,162,406,20,13,52,73,44,58,0,0
102,2022-2023,17,13.11.2022 15:00,Lechia Gdańsk,Piast Gliwice,67%,33%,18,9,8,4,6,3,4,2,13,14,4,3,0,6,25,24,1,7,18,11,,,0,1,568,278,475,188,8,20,114,79,79,67,1,3
