,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,goals_home,goals_away
72,2014-2015,28,20.04.2015 18:00,Górnik Zabrze,GKS Bełchatów,62%,38%,15,9,3,3,7,6,5,0,12,14,4,2,2,0,16,38,3,1,10,11,2,2,,,2,0
73,2014-2015,28,19.04.2015 18:00,Legia Warszawa,Zawisza Bydgoszcz,58%,42%,16,9,10,2,2,5,4,2,11,18,9,5,1,1,25,28,2,8,17,9,,,,,2,0
74,2014-2015,28,19.04.2015 15:30,Górnik Łęczna,Lech Poznań,39%,61%,10,8,4,3,3,4,3,1,13,18,5,4,1,2,27,31,2,3,17,11,3,2,,,1,1
75,2014-2015,28,18.04.2015 20:30,Cracovia,Pogoń Szczecin,59%,41%,16,8,6,1,7,4,3,3,17,18,1,5,2,1,31,27,0,6,13,17,1,1,,,0,1
76,2014-2015,28,18.04.2015 18:00,Jagiellonia Białystok,Piast Gliwice,45%,55%,11,14,6,3,5,7,0,4,13,19,5,11,2,4,28,29,2,4,17,9,4,1,,,2,1
77,2014-2015,28,18.04.2015 15:30,Śląsk Wrocław,Lechia Gdańsk,42%,58%,11,16,6,2,3,11,2,3,8,24,7,4,4,2,22,29,2,3,20,8,2,2,,,3,0
78,2014-2015,28,17.04.2015 20:30,Podbeskidzie B-B,Wisła Kraków,45%,55%,13,7,3,4,6,1,4,2,24,20,8,3,1,3,19,31,2,1,21,21,1,1,,,2,2
79,2014-2015,28,17.04.2015 18:00,Korona Kielce,Ruch Chorzów,49%,51%,9,3,4,1,2,1,3,1,11,12,8,2,3,0,35,33,1,4,9,11,1,2,,,0,0
80,2014-2015,27,13.04.2015 18:00,Górnik Łęczna,Podbeskidzie B-B,56%,44%,11,12,4,1,6,10,1,1,9,21,2,9,5,0,25,36,1,4,16,8,1,1,,,0,0
81,2014-2015,27,12.04.2015 18:00,Lech Poznań,Korona Kielce,56%,44%,14,9,5,4,5,4,4,1,16,12,10,1,0,1,24,31,3,4,12,11,1,2,,,1,1
82,2014-2015,27,12.04.2015 15:30,GKS Bełchatów,Zawisza Bydgoszcz,47%,53%,8,10,3,8,2,1,3,1,13,18,4,2,1,1,29,23,4,2,17,13,2,1,,,1,4
83,2014-2015,27,11.04.2015 20:30,Pogoń Szczecin,Jagiellonia Białystok,41%,59%,20,9,5,1,13,5,2,3,6,22,10,3,0,0,33,30,1,3,22,6,0,1,,,2,0
84,2014-2015,27,11.04.2015 18:00,Piast Gliwice,Śląsk Wrocław,51%,49%,11,9,2,3,4,4,5,2,17,19,3,9,0,3,16,35,3,0,19,12,2,4,0,1,2,0
85,2014-2015,27,11.04.2015 15:30,Lechia Gdańsk,Legia Warszawa,53%,47%,20,7,7,1,9,4,4,2,13,19,5,0,1,1,33,32,1,6,19,12,2,2,0,1,1,0
86,2014-2015,27,10.04.2015 20:30,Wisła Kraków,Górnik Zabrze,42%,58%,9,16,5,6,2,5,2,5,12,16,2,6,1,2,26,25,5,4,15,9,1,1,,,1,1
87,2014-2015,27,10.04.2015 18:00,Ruch Chorzów,Cracovia,46%,54%,8,17,3,5,3,8,2,4,19,7,1,1,2,6,14,13,5,0,5,14,0,1,,,3,0
88,2014-2015,26,07.04.2015 20:30,Zawisza Bydgoszcz,Pogoń Szczecin,50%,50%,8,10,4,5,2,3,2,2,16,17,0,3,0,1,25,31,4,2,17,13,2,4,,,2,1
89,2014-2015,26,06.04.2015 18:00,Jagiellonia Białystok,Wisła Kraków,47%,53%,10,21,3,5,4,8,3,8,17,13,3,2,2,2,17,17,3,1,9,15,4,4,,,2,2
90,2014-2015,26,06.04.2015 15:30,Górnik Zabrze,Ruch Chorzów,45%,55%,7,7,4,4,3,1,0,2,17,19,9,3,2,5,27,32,2,2,17,10,5,2,0,1,2,2
91,2014-2015,26,06.04.2015 13:00,Korona Kielce,Górnik Łęczna,47%,53%,14,13,2,3,9,7,3,3,20,10,4,10,0,1,26,21,3,0,11,19,1,2,0,1,2,0
92,2014-2015,26,04.04.2015 20:30,Legia Warszawa,Piast Gliwice,57%,43%,21,14,13,3,4,6,4,5,19,8,6,3,0,3,15,37,3,11,8,17,1,2,,,2,0
93,2014-2015,26,04.04.2015 18:00,GKS Bełchatów,Lech Poznań,43%,57%,8,18,3,9,3,6,2,3,20,18,1,8,4,1,21,22,7,2,14,20,2,2,,,1,2
94,2014-2015,26,04.04.2015 15:30,Śląsk Wrocław,Podbeskidzie B-B,58%,42%,7,12,3,2,1,7,3,3,20,24,5,3,4,1,19,31,2,3,19,17,5,3,1,0,0,0
95,2014-2015,26,04.04.2015 13:00,Cracovia,Lechia Gdańsk,35%,65%,13,17,7,6,5,3,1,8,15,23,2,6,6,0,22,28,4,4,17,16,4,2,,,3,2
96,2014-2015,25,22.03.2015 18:00,Lech Poznań,Legia Warszawa,53%,47%,16,8,7,3,7,3,2,2,10,21,4,7,2,2,27,24,2,5,18,6,3,3,0,1,2,1
97,2014-2015,25,22.03.2015 15:30,Piast Gliwice,Korona Kielce,35%,65%,9,11,6,5,2,1,1,5,21,19,4,8,3,2,18,44,3,5,18,18,1,1,,,1,2
98,2014-2015,25,22.03.2015 15:30,Podbeskidzie B-B,Jagiellonia Białystok,56%,44%,21,11,9,5,7,5,5,1,20,18,6,3,4,2,26,21,5,8,14,19,1,5,0,1,1,0
99,2014-2015,25,21.03.2015 20:30,Lechia Gdańsk,Górnik Zabrze,47%,53%,16,10,6,3,7,3,3,4,19,11,5,6,1,2,33,26,3,5,11,17,2,4,,,1,0
100,2014-2015,25,21.03.2015 18:00,Wisła Kraków,Cracovia,47%,53%,12,10,5,4,5,2,2,4,19,18,7,4,1,1,22,21,3,3,17,18,6,2,0,1,2,1
101,2014-2015,25,21.03.2015 15:30,Ruch Chorzów,Zawisza Bydgoszcz,59%,41%,14,6,3,2,8,2,3,2,19,10,6,4,1,6,21,25,0,2,8,13,1,2,,,1,2
102,2014-2015,25,20.03.2015 20:30,Górnik Łęczna,Śląsk Wrocław,44%,56%,11,15,5,4,5,4,1,7,12,13,5,12,2,1,32,22,3,4,11,11,3,2,,,1,1
103,2014-2015,25,20.03.2015 18:00,Pogoń Szczecin,GKS Bełchatów,43%,57%,17,15,6,3,6,5,5,7,21,25,5,4,4,0,32,30,3,3,21,22,2,4,,,3,0
104,2014-2015,24,16.03.2015 18:00,GKS Bełchatów,Ruch Chorzów,53%,47%,14,10,3,3,5,4,6,3,17,23,11,1,4,3,36,27,2,3,18,14,2,2,1,0,0,1
105,2014-2015,24,15.03.2015 18:00,Legia Warszawa,Wisła Kraków,59%,41%,9,11,3,6,4,3,2,2,25,14,5,5,5,2,27,28,4,1,10,21,1,2,,,2,2
106,2014-2015,24,15.03.2015 15:30,Korona Kielce,Śląsk Wrocław,39%,61%,21,9,7,2,10,5,4,2,17,22,7,8,1,2,29,28,0,5,20,15,2,4,,,2,2
107,2014-2015,24,14.03.2015 18:00,Zawisza Bydgoszcz,Lech Poznań,63%,37%,14,10,3,5,8,5,3,0,17,13,5,2,1,1,26,29,5,2,12,16,3,3,0,1,1,0
108,2014-2015,24,14.03.2015 15:30,Górnik Zabrze,Podbeskidzie B-B,56%,44%,9,15,5,6,4,6,0,3,23,21,4,1,2,5,16,17,3,2,18,21,2,2,,,3,3
109,2014-2015,24,14.03.2015 15:30,Jagiellonia Białystok,Górnik Łęczna,47%,53%,12,22,3,11,6,3,3,8,13,5,1,5,0,2,14,26,10,1,4,11,2,2,,,2,1
110,2014-2015,24,13.03.2015 20:30,Pogoń Szczecin,Lechia Gdańsk,47%,53%,8,15,2,5,3,8,3,2,21,28,3,4,1,1,25,33,4,2,28,20,5,2,1,0,0,1
111,2014-2015,24,13.03.2015 18:00,Cracovia,Piast Gliwice,46%,54%,13,14,2,5,6,4,5,5,11,12,6,8,2,0,24,23,4,0,8,11,2,1,,,3,1
112,2014-2015,23,09.03.2015 18:00,Górnik Łęczna,Cracovia,45%,55%,12,14,3,9,2,4,7,1,11,21,6,5,3,0,26,24,8,1,18,10,4,4,,,2,1
113,2014-2015,23,08.03.2015 18:00,Śląsk Wrocław,Legia Warszawa,55%,45%,10,9,6,5,3,2,1,2,15,19,7,5,5,0,32,25,2,5,14,14,1,4,,,1,3
114,2014-2015,23,08.03.2015 15:30,Podbeskidzie B-B,Korona Kielce,54%,46%,14,5,4,3,7,1,3,1,22,13,3,4,1,3,25,25,1,2,11,20,2,2,,,2,2
115,2014-2015,23,07.03.2015 18:00,Lechia Gdańsk,GKS Bełchatów,56%,44%,19,5,6,2,7,2,6,1,18,23,7,1,3,3,37,24,2,5,18,14,6,2,1,0,1,0
116,2014-2015,23,07.03.2015 15:30,Piast Gliwice,Górnik Zabrze,44%,56%,5,14,3,6,0,4,2,4,15,8,3,12,1,2,17,14,4,1,6,12,2,2,,,2,2
117,2014-2015,23,07.03.2015 15:30,Wisła Kraków,Zawisza Bydgoszcz,60%,40%,14,7,4,4,5,2,5,1,12,13,9,3,2,1,28,26,3,4,9,13,3,3,0,1,0,1
118,2014-2015,23,06.03.2015 20:30,Lech Poznań,Jagiellonia Białystok,63%,37%,17,4,7,2,4,1,6,1,13,18,7,1,2,0,25,29,2,5,15,15,3,2,,,2,0
119,2014-2015,23,06.03.2015 18:00,Ruch Chorzów,Pogoń Szczecin,47%,53%,6,11,4,3,2,5,0,3,20,15,5,4,2,5,19,24,2,2,13,15,3,3,,,2,1
120,2014-2015,22,02.03.2015 18:00,Pogoń Szczecin,Górnik Łęczna,52%,48%,13,12,5,3,6,5,2,4,20,20,10,5,0,2,30,25,2,5,18,18,1,2,,,0,1
121,2014-2015,22,01.03.2015 18:00,Legia Warszawa,Podbeskidzie B-B,66%,34%,11,14,6,4,3,5,2,5,20,17,2,8,3,0,20,16,4,3,14,21,1,2,,,3,0
122,2014-2015,22,01.03.2015 15:30,Jagiellonia Białystok,Korona Kielce,61%,39%,15,13,8,3,5,6,2,4,17,8,8,7,0,2,40,24,1,7,8,14,0,5,,,1,2
123,2014-2015,22,28.02.2015 18:00,Górnik Zabrze,Śląsk Wrocław,45%,55%,15,12,8,5,2,5,5,2,16,17,3,5,0,2,16,18,2,5,16,13,2,2,,,3,3
124,2014-2015,22,28.02.2015 15:30,GKS Bełchatów,Wisła Kraków,36%,64%,5,11,3,7,1,4,1,0,12,19,3,5,3,0,21,22,6,0,12,12,1,2,0,1,3,1
125,2014-2015,22,28.02.2015 15:30,Zawisza Bydgoszcz,Piast Gliwice,56%,44%,13,10,4,2,5,5,4,3,15,14,5,4,2,1,30,26,2,2,12,13,1,2,,,2,0
126,2014-2015,22,27.02.2015 20:30,Cracovia,Lech Poznań,48%,52%,9,12,2,3,6,7,1,2,17,16,4,5,2,1,31,20,3,2,15,15,4,2,,,0,0
