,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Podania celne_home,Podania celne_away,Czerwone kartki_home,Czerwone kartki_away,Strzały zablokowane_home,Strzały zablokowane_away,goals_home,goals_away
110,2020-2021,17,13.02.2021 17:30,Pogoń Szczecin,Piast Gliwice,56%,44%,9,6,5,2,4,4,8,1,2,2,2,5,10,14,3,3,82,84,72,61,329,302,,,,,0,0
111,2020-2021,17,13.02.2021 15:00,Cracovia,Podbeskidzie B-B,58%,42%,19,6,6,2,13,4,6,3,1,0,1,5,15,11,2,4,101,66,86,50,462,211,1,1,,,1,1
112,2020-2021,17,12.02.2021 20:30,Śląsk Wrocław,Wisła Kraków,47%,53%,7,20,1,5,6,15,3,13,0,1,4,0,13,19,3,2,101,124,43,119,247,302,1,0,,,1,1
113,2020-2021,16,07.02.2021 17:30,Wisła Kraków,Jagiellonia Białystok,52%,48%,17,15,8,7,9,8,8,3,3,1,7,6,9,8,1,2,90,94,99,67,225,273,,,,,2,0
114,2020-2021,16,07.02.2021 15:00,Podbeskidzie B-B,Górnik Zabrze,51%,49%,16,10,6,5,10,5,8,5,1,0,4,4,13,15,4,2,97,98,84,50,341,304,,,,,2,1
115,2020-2021,16,06.02.2021 20:00,Legia Warszawa,Raków Częstochowa,49%,51%,14,10,10,2,4,8,2,3,2,1,2,8,19,17,3,2,91,93,45,61,382,401,,,,,2,0
116,2020-2021,16,06.02.2021 17:30,Pogoń Szczecin,Cracovia,54%,46%,13,4,4,0,9,4,5,4,4,1,0,3,17,13,3,1,88,94,67,63,384,351,,,,,1,0
117,2020-2021,16,06.02.2021 15:00,Piast Gliwice,Śląsk Wrocław,49%,51%,18,8,6,2,12,6,6,8,1,2,2,4,23,18,3,4,86,75,54,52,320,365,,,,,2,0
118,2020-2021,16,05.02.2021 20:30,Lech Poznań,Zagłębie Lubin,68%,32%,17,9,2,3,15,6,8,3,0,2,3,2,13,10,2,0,136,81,107,53,614,290,,,,,0,0
119,2020-2021,16,05.02.2021 18:00,Lechia Gdańsk,Warta Poznań,56%,44%,16,5,6,2,10,3,9,3,3,3,1,5,18,12,2,1,118,114,96,62,407,281,,,,,1,1
120,2020-2021,15,01.02.2021 18:00,Stal Mielec,Śląsk Wrocław,40%,60%,15,9,5,2,10,7,3,5,2,0,2,5,20,16,4,1,100,131,65,62,266,421,1,0,,,0,0
121,2020-2021,15,31.01.2021 17:30,Podbeskidzie B-B,Legia Warszawa,32%,68%,8,15,3,4,5,11,2,7,3,0,4,2,14,8,2,0,85,120,47,80,246,591,,,,,1,0
122,2020-2021,15,31.01.2021 15:00,Wisła Kraków,Piast Gliwice,58%,42%,17,16,5,9,12,7,2,0,2,1,5,2,11,13,4,3,105,86,55,45,379,313,,,,,3,4
123,2020-2021,15,30.01.2021 20:00,Górnik Zabrze,Lech Poznań,36%,64%,9,10,2,3,7,7,8,3,2,1,3,1,9,8,2,1,112,140,83,85,270,574,,,,,1,1
124,2020-2021,15,30.01.2021 17:30,Lechia Gdańsk,Jagiellonia Białystok,55%,45%,12,13,2,7,10,6,5,4,1,0,5,2,15,21,6,2,99,103,59,45,452,393,1,0,,,0,2
