,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result
119,2013-2014,1,2013-07-22 18:00:00,Lechia Gdańsk,Podbeskidzie B-B,59,41,16,7,7,4,7,3,3,1,6,1,2,5,17,9,1,1,0,0,2,2,D
120,2013-2014,2,2013-07-26 18:00:00,Ruch Chorzów,Lechia Gdańsk,46,54,9,8,3,3,3,3,2,9,1,1,2,2,14,12,2,3,0,0,1,1,D
121,2013-2014,2,2013-07-26 20:30:00,Widzew Łódź,Zawisza Bydgoszcz,43,57,12,17,2,4,7,9,7,8,1,1,3,0,8,7,3,1,0,0,2,1,W
122,2013-2014,2,2013-07-27 18:00:00,Podbeskidzie B-B,Górnik Zabrze,47,53,7,17,4,9,3,2,0,5,1,1,7,3,19,8,1,1,0,0,1,2,L
123,2013-2014,2,2013-07-27 20:30:00,Pogoń Szczecin,Legia Warszawa,44,56,17,21,4,9,11,8,6,6,3,2,6,4,17,16,2,5,1,0,0,3,L
124,2013-2014,2,2013-07-28 15:30:00,Piast Gliwice,Zagłębie Lubin,57,43,17,12,4,4,11,8,4,2,2,1,3,2,11,10,4,1,0,0,2,1,W
125,2013-2014,2,2013-07-28 18:00:00,Śląsk Wrocław,Jagiellonia Białystok,50,50,16,12,9,6,7,4,6,3,1,1,3,7,7,8,4,3,0,0,2,3,L
126,2013-2014,2,2013-07-28 20:30:00,Lech Poznań,Cracovia,50,50,12,6,3,2,3,3,6,1,2,2,1,2,12,12,2,4,0,1,1,1,D
127,2013-2014,2,2013-07-29 18:00:00,Korona Kielce,Wisła Kraków,51,49,19,14,6,3,12,8,7,3,2,3,0,4,11,13,0,2,0,0,2,3,L
128,2013-2014,3,2013-02-08 18:00:00,Cracovia,Ruch Chorzów,69,31,20,6,10,2,7,4,7,2,2,0,1,8,12,13,1,3,0,0,2,1,W
