,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
112,2017-2018,23,19.02.2018 18:00,Górnik Zabrze,Bruk-Bet T.,45%,55%,13,12,6,3,7,9,3,5,4,1,3,3,14,13,2,3,110,109,69,63,,,,,,,3,0
113,2017-2018,23,18.02.2018 18:00,Lech Poznań,Pogoń Szczecin,48%,52%,11,10,6,1,5,9,7,6,3,5,1,4,14,19,2,4,80,77,51,38,,,,,,,2,0
114,2017-2018,23,18.02.2018 15:30,Lechia Gdańsk,Piast Gliwice,54%,46%,7,9,3,7,4,2,2,1,1,3,5,3,20,10,2,2,99,88,50,58,,,,,,,0,2
115,2017-2018,23,17.02.2018 20:30,Wisła Kraków,Arka Gdynia,56%,44%,22,12,5,7,17,5,4,6,1,3,5,2,9,21,1,3,103,76,78,57,,,,,,,3,2
116,2017-2018,23,17.02.2018 18:00,Jagiellonia Białystok,Cracovia,54%,46%,16,4,6,1,10,3,5,3,2,2,1,5,14,14,3,2,87,95,74,46,,,,,,,1,0
117,2017-2018,23,17.02.2018 15:30,Wisła Płock,Zagłębie Lubin,41%,59%,12,6,5,2,7,4,5,5,0,3,2,3,13,17,0,1,77,97,54,57,,,,,,,2,0
118,2017-2018,23,16.02.2018 20:30,Legia Warszawa,Śląsk Wrocław,65%,35%,9,10,5,5,4,5,3,4,1,7,4,1,15,10,1,1,57,49,27,30,,,,,,,4,1
119,2017-2018,23,16.02.2018 18:00,Sandecja Nowy Sącz,Korona Kielce,48%,52%,11,14,4,6,7,8,5,9,3,3,3,1,21,18,3,1,94,129,49,77,,,,,,,3,3
120,2017-2018,22,12.02.2018 18:00,Piast Gliwice,Jagiellonia Białystok,53%,47%,8,11,1,6,7,5,4,3,1,2,4,1,8,8,1,0,66,66,96,74,,,,,,,0,2
121,2017-2018,22,11.02.2018 18:00,Arka Gdynia,Lech Poznań,40%,60%,8,7,3,2,5,5,7,3,0,1,2,3,19,10,1,1,55,67,53,79,,,,,,,0,0
122,2017-2018,22,11.02.2018 15:30,Bruk-Bet T.,Korona Kielce,51%,49%,8,12,4,6,4,6,4,5,0,2,3,4,14,15,2,2,59,60,60,70,,,,,,,0,3
123,2017-2018,22,10.02.2018 20:30,Lechia Gdańsk,Wisła Kraków,44%,56%,9,7,4,1,5,6,6,7,6,1,0,3,17,15,,,81,93,55,52,,,,,,,1,1
124,2017-2018,22,10.02.2018 18:00,Cracovia,Śląsk Wrocław,59%,41%,16,8,8,3,8,5,6,4,3,1,2,6,16,16,2,2,87,73,60,61,,,,,,,2,1
125,2017-2018,22,10.02.2018 15:30,Pogoń Szczecin,Sandecja Nowy Sącz,56%,44%,16,10,8,3,8,7,2,4,2,2,2,4,12,15,1,1,106,79,61,34,,,,,,,4,1
