,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
119,2016-2017,23,24.02.2017 20:30,Pogoń Szczecin,Lech Poznań,57%,43%,18,10,5,5,13,5,10,5,2,0,2,5,12,16,,,1,1,,,,,,,0,3
120,2016-2017,23,24.02.2017 18:00,Arka Gdynia,Korona Kielce,46%,54%,14,16,9,6,5,10,1,9,3,2,5,5,21,16,,,1,1,,,,,,,4,1
121,2016-2017,22,20.02.2017 18:00,Zagłębie Lubin,Arka Gdynia,58%,42%,11,5,2,2,9,3,7,2,1,0,2,1,10,13,,,1,4,,,,,,,1,0
122,2016-2017,22,19.02.2017 18:00,Legia Warszawa,Ruch Chorzów,66%,34%,30,7,6,5,24,2,6,0,2,0,2,5,8,10,0,1,2,2,,,,,,,1,3
123,2016-2017,22,19.02.2017 15:30,Cracovia,Pogoń Szczecin,57%,43%,10,4,4,1,6,3,4,2,0,2,0,3,15,13,,,1,1,,,,,,,1,1
124,2016-2017,22,18.02.2017 20:30,Piast Gliwice,Lech Poznań,46%,54%,15,22,4,11,11,11,4,2,1,0,8,4,16,12,,,2,0,,,,,,,0,3
125,2016-2017,22,18.02.2017 18:00,Śląsk Wrocław,Wisła Kraków,47%,53%,12,14,3,5,9,9,4,15,2,0,5,2,14,14,,,1,2,,,,,,,1,0
126,2016-2017,22,18.02.2017 15:30,Korona Kielce,Wisła Płock,54%,46%,21,10,10,5,11,5,7,6,0,2,3,6,15,12,,,3,2,,,,,,,4,2
127,2016-2017,22,17.02.2017 20:30,Bruk-Bet T.,Lechia Gdańsk,40%,60%,12,11,6,5,6,6,6,4,0,2,4,5,17,14,,,1,4,,,,,,,1,1
128,2016-2017,22,17.02.2017 18:00,Jagiellonia Białystok,Górnik Łęczna,47%,53%,18,8,10,0,8,8,12,3,0,0,0,5,18,19,,,1,2,,,,,,,5,0
129,2016-2017,21,13.02.2017 18:00,Pogoń Szczecin,Piast Gliwice,57%,43%,20,10,7,4,13,6,7,2,2,3,3,5,10,13,0,1,3,4,,,,,,,2,1
130,2016-2017,21,12.02.2017 18:00,Lechia Gdańsk,Jagiellonia Białystok,60%,40%,8,11,3,4,5,7,6,2,1,2,4,0,14,20,,,4,3,,,,,,,3,0
131,2016-2017,21,12.02.2017 15:30,Wisła Płock,Śląsk Wrocław,49%,51%,12,15,2,4,10,11,1,2,1,0,3,1,12,9,,,2,0,,,,,,,1,1
132,2016-2017,21,11.02.2017 20:30,Arka Gdynia,Legia Warszawa,43%,57%,11,8,4,3,7,5,6,1,0,1,2,4,15,12,,,2,1,,,,,,,0,1
133,2016-2017,21,11.02.2017 18:00,Wisła Kraków,Korona Kielce,43%,57%,16,19,6,4,10,15,2,3,3,1,4,4,21,19,,,3,0,,,,,,,2,0
134,2016-2017,21,10.02.2017 20:30,Lech Poznań,Bruk-Bet T.,54%,46%,21,8,5,4,16,4,9,4,3,1,4,2,13,17,0,1,1,5,,,,,,,3,0
135,2016-2017,21,10.02.2017 18:00,Ruch Chorzów,Cracovia,46%,54%,7,10,2,3,5,7,1,0,1,1,2,2,15,13,,,0,1,,,,,,,0,1
136,2016-2017,20,19.12.2016 18:00,Zagłębie Lubin,Piast Gliwice,48%,52%,12,15,4,4,8,11,2,3,4,0,3,2,9,7,,,4,1,,,,,,,2,1
