,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Skuteczność podań_home,Skuteczność podań_away,goals_home,goals_away
70,2021-2022,27,01.04.2022 20:30,Śląsk Wrocław,Lech Poznań,43%,57%,10,9,3,4,4,2,3,3,14,11,4,3,3,2,27,24,3,3,8,13,2,0,411,544,302,435,14,13,109,128,57,71,,,,,0,1
71,2021-2022,27,01.04.2022 18:00,Stal Mielec,Cracovia,59%,41%,12,16,4,6,5,5,3,5,22,14,6,8,3,2,27,28,4,3,11,27,4,5,358,250,254,144,4,11,107,77,78,62,0,1,,,1,2
72,2021-2022,26,20.03.2022 17:30,Górnik Zabrze,Bruk-Bet T.,66%,34%,25,16,11,6,8,6,6,4,17,16,11,2,2,5,30,19,5,10,15,13,7,4,524,267,442,179,14,18,121,81,102,52,1,0,,,1,1
73,2021-2022,26,20.03.2022 15:00,Cracovia,Piast Gliwice,53%,47%,11,12,1,2,7,8,3,2,18,14,7,4,4,2,24,23,1,1,13,17,1,1,424,379,323,278,8,9,116,99,65,55,,,,,0,1
74,2021-2022,26,20.03.2022 12:30,Radomiak Radom,Stal Mielec,68%,32%,24,13,4,6,4,5,16,2,12,15,7,1,2,1,30,14,5,3,14,14,0,5,514,239,432,143,11,11,108,79,100,38,,,,,1,1
75,2021-2022,26,19.03.2022 20:00,Lech Poznań,Jagiellonia Białystok,57%,43%,20,5,8,2,7,2,5,1,13,15,6,2,4,0,21,11,2,5,11,12,1,2,583,436,519,355,20,17,135,91,103,32,,,,,3,0
76,2021-2022,26,19.03.2022 17:30,Lechia Gdańsk,Górnik Łęczna,53%,47%,18,12,9,4,7,3,2,5,17,18,3,11,3,5,14,15,4,7,16,15,2,1,443,374,363,278,12,17,118,98,69,64,,,,,2,0
77,2021-2022,26,19.03.2022 15:00,Raków Częstochowa,Legia Warszawa,54%,46%,17,5,4,2,5,3,8,0,22,16,5,6,1,1,20,16,1,3,15,24,3,3,401,364,315,252,16,21,94,70,88,53,1,0,,,1,1
78,2021-2022,26,19.03.2022 12:30,Wisła Płock,Śląsk Wrocław,65%,35%,14,16,3,6,8,4,3,6,16,16,3,3,4,0,29,21,4,2,15,18,5,6,533,273,427,172,15,11,109,83,70,55,,,,,1,2
79,2021-2022,26,18.03.2022 20:30,Pogoń Szczecin,Wisła Kraków,56%,44%,18,9,7,2,4,4,7,3,14,14,10,3,2,3,25,23,1,3,12,12,2,1,441,348,344,260,17,17,82,66,94,55,,,,,4,1
80,2021-2022,26,18.03.2022 18:00,Zagłębie Lubin,Warta Poznań,62%,38%,13,16,2,7,8,6,3,3,14,16,3,3,1,1,26,26,3,2,17,15,2,2,511,311,403,200,10,20,128,96,88,56,,,,,0,4
81,2021-2022, 5,15.03.2022 18:45,Legia Warszawa,Bruk-Bet T.,57%,43%,16,5,8,1,4,4,4,0,13,18,6,5,1,0,17,16,0,4,19,15,2,1,478,352,403,282,14,14,101,73,58,43,,,,,4,1
82,2021-2022,25,14.03.2022 18:00,Raków Częstochowa,Stal Mielec,54%,46%,19,9,6,2,9,2,4,5,9,19,9,2,8,1,21,25,1,4,11,9,2,1,434,371,368,263,15,7,98,58,92,47,,,,,2,1
